,Cocktail Name,Bartender,Bar/Company,Location,Ingredients,Garnish,Glassware,Preparation,Notes,Ingredients_list,alcohol_type,full_text,text2vec,cluster,alcohol_genre,cocktail_genre,top_5_similarity_scores,top_5_similar_cocktails,similar_cocktails_names
48,On the Wings of Eagles,Matthew Polzin,The Olde Bar,Philadelphia,"1.5 oz H by HINE, .75 oz Rye Whiskey, .75 oz Green Chartreuse, 2 dash Lemon Bitters, 1 splash Fernet-Branca",Mint Sprig,Rocks Glass,"Add cognac, rye, Chartreuse and bitters to a mixing glass with ice, and stir until cold. Add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess. Add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig.",Photo credit: liquor.com,"['1.5 oz H by HINE', '.75 oz Rye Whiskey', '.75 oz Green Chartreuse', '2 dash Lemon Bitters', '1 splash Fernet-Branca']","['h by hine', 'whiskey', 'rye', 'fernet']","Matthew Polzin The Olde Bar Philadelphia  oz H by HINE,  oz Rye Whiskey,  oz Green Chartreuse, dash Lemon Bitters, splash Fernet-Branca Mint Sprig Rocks Glass Add cognac, rye, Chartreuse and bitters to a mixing glass with ice, and stir until cold Add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess Add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig Photo credit: liquor com","[0.4041685461997986, -0.903622031211853, 0.19509169459342957, 0.4381253123283386, 0.015077918767929077, -0.8943397402763367, -0.06475760042667389, -0.16806381940841675, -0.9908056259155273, 0.32404592633247375, 0.42843183875083923, -0.10900705307722092, 0.02692645601928234, -0.8541029095649719, 1.0381009578704834, 0.1902226060628891, 0.5486777424812317, -0.4054569602012634, -0.5293189883232117, 0.8712656497955322, 0.0841890349984169, 0.5702266097068787, 0.3362487256526947, -1.0618623495101929, -0.2544398307800293, 0.023955749347805977, 0.14954672753810883, -0.040412820875644684, -0.6974000334739685, -0.07338561117649078, 0.21526990830898285, -0.30157315731048584, 0.25685933232307434, 0.013436525128781796, 0.4278644621372223, 0.7963875532150269, 0.34541869163513184, 0.5576711297035217, -0.06267452985048294, -0.7603431940078735, -0.16355425119400024, -0.4689016342163086, -0.11910077184438705, -0.001287556136958301, 0.14763860404491425, 0.3633127212524414, 0.022127842530608177, 0.24234731495380402, 0.7599201798439026, 0.38108140230178833, -0.3141992390155792, 0.6746475100517273, 0.7653436660766602, 0.22865375876426697, 1.0282536745071411, 0.37523379921913147, -0.009595687501132488, -0.2204621434211731, 0.1177932396531105, 0.2707040011882782, -0.3951808214187622, -0.10227005928754807, 0.13219290971755981, 0.7355835437774658]",3,Liqueur Luxardo,Dash Luxardo,"[1.0, 0.74701733255814, 0.7458116415514294, 0.7360179292214605, 0.7355344923308997, 0.7344305422504126]","[41, 576, 330, 39, 249]","[""Angel's Face"", '50/50 Split', 'Sorrentino', 'Neighborhood Negroni', 'Goat Town Swizzle']"
49,Mule Pigeon,Ryan Chetiyawardana,,United Kingdom,"40 ml Pink Pigeon Rum, 2 dash Angostura Bitters,  top Ginger Beer",Basil Sprig,Highball Glass,"Add cubed ice to a highball, add 2 dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil.",,"['40 ml Pink Pigeon Rum', '2 dash Angostura Bitters', 'top Ginger Beer']","['rum', 'gin', 'beer']","Ryan Chetiyawardana United Kingdom ml Pink Pigeon Rum, dash Angostura Bitters, top Ginger Beer Basil Sprig Highball Glass Add cubed ice to a highball, add dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil ","[0.5801814794540405, -0.3617449998855591, -0.02754947729408741, 0.1552329957485199, 0.012915822677314281, -0.7469682693481445, 0.09177488088607788, -0.017367567867040634, -0.5572603940963745, -0.06637265533208847, 0.056666191667318344, -0.1566276252269745, -0.1000705137848854, -0.48077309131622314, 0.2998090088367462, 0.6579810380935669, 0.05267897620797157, -0.09222384542226791, -0.39785727858543396, 0.7037258148193359, 0.4863879084587097, 0.3332422971725464, 0.5073879957199097, -1.1861919164657593, 0.04295963793992996, 0.021186744794249535, -0.32185134291648865, -0.35531172156333923, -0.24213120341300964, 0.10624827444553375, 0.21177197992801666, 0.03862958401441574, -0.0823703408241272, -0.10790597647428513, 0.10174713283777237, 0.4338677227497101, -0.21899345517158508, 0.5220808982849121, 0.15054354071617126, -0.38439157605171204, -0.32071995735168457, -0.09014581143856049, 0.24058082699775696, -0.25212541222572327, -0.15092235803604126, 0.1360350251197815, 0.07462088763713837, -0.3981635868549347, -0.16589580476284027, 0.06171479821205139, -0.012625770643353462, 0.306549996137619, -0.0673668161034584, 0.13845385611057281, 1.0108444690704346, 0.21086899936199188, 0.1989651620388031, -0.4331018030643463, 0.18962176144123077, 0.09288990497589111, -0.19142505526542664, -0.14325617253780365, -0.17506802082061768, 0.2306225597858429]",6,Vodka Whisky,Sugar Apple,"[1.0000000000000002, 0.8499844349482639, 0.8237145596422218, 0.8185375361223265, 0.7961341932181153, 0.7943719611898596]","[354, 292, 200, 301, 53]","['San Fran Soda', 'Winter Swizzle', ""The King's Egg Nog"", 'Spice and Stormy', 'The Royal Buck']"
50,Cuba Liberation,,,,"2 oz Pink Pigeon Rum, 1.5 oz Fresh lime juice, .25 oz Simple syrup,  oz Mexican Coca Cola, 1 float Luxardo Fernet","Lime wheel, Mint sprig",,Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.,,"['2 oz Pink Pigeon Rum', '1.5 oz Fresh lime juice', '.25 oz Simple syrup', 'oz Mexican Coca Cola', '1 float Luxardo Fernet']","['rum', 'fernet', 'luxardo']"," oz Pink Pigeon Rum,  oz Fresh lime juice,  oz Simple syrup, oz Mexican Coca Cola, float Luxardo Fernet Lime wheel, Mint sprig Add first three ingredients to a mixing glass with shaker and lightly shake with ice Pour mixture into a Collins or highball glass over ice Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float Garnish with a lime wheel and fresh mint sprig ","[0.8848690986633301, -0.02885085716843605, -0.363127201795578, 0.3962841331958771, 0.030621107667684555, -0.8727979063987732, -0.0248743686825037, -0.359792023897171, -1.227708339691162, -0.18686190247535706, -0.0005862278630957007, -0.24198344349861145, -0.6531081795692444, -0.5318113565444946, 0.5142889022827148, 0.9421287775039673, 0.02121761068701744, 0.3396661579608917, -0.2174433320760727, 1.1603492498397827, 0.569938600063324, 0.24313628673553467, 0.6811712980270386, -0.44457149505615234, 0.009419157169759274, 0.2692209482192993, -0.4816974699497223, -0.17990630865097046, -0.2067904770374298, -0.22965079545974731, -0.34750860929489136, -0.09548655152320862, -0.14957989752292633, -0.2770554721355438, 0.25472089648246765, 0.15186889469623566, 0.09069960564374924, 0.9352089166641235, 0.25381335616111755, -0.11382096260786057, -0.21005572378635406, -0.30388379096984863, 0.5189642906188965, -0.3213268518447876, -0.36862313747406006, -0.11107190698385239, -0.16808848083019257, -0.4222901165485382, -0.2644234895706177, 0.019446048885583878, -0.15778683125972748, -0.041517481207847595, 0.8155810832977295, -0.1036924347281456, 0.965354859828949, 0.4649841785430908, 0.2448112666606903, -1.0525965690612793, -0.11332263797521591, -0.0897895097732544, -0.11592943221330643, -0.5165961384773254, -0.09982774406671524, 0.08140779286623001]",6,Vodka Whisky,Sugar Apple,"[1.0, 0.8549492086425695, 0.8400667261567363, 0.8243485662605581, 0.8150997941010388, 0.8094994168101021]","[647, 334, 503, 464, 59]","['California Aurora', 'Brazilian Mai Tai', 'The Seniorita', 'Hanky Panky (Classic)', 'Citrus Agave Caipirinha']"
51,Off the Radar,,,,"1.5 oz Junipero Gin, .5 oz Lemon Juice, .25 oz Luxardo Maraschino Liqueur, .25 oz Liqueur de Violette, 3-4 oz Tonic Water",Lemon Wheel,Collins,"Add gin, lemon juice, maraschino liqueur, and liqueur de violette to a collins glass filled with ice. Add tonic water; stir to combine. Garnish with a lemon wheel.",,"['1.5 oz Junipero Gin', '.5 oz Lemon Juice', '.25 oz Luxardo Maraschino Liqueur', '.25 oz Liqueur de Violette', '3-4 oz Tonic Water']","['gin', 'liqueur', 'luxardo', 'liqueur']"," oz Junipero Gin,  oz Lemon Juice,  oz Luxardo Maraschino Liqueur,  oz Liqueur de Violette, - oz Tonic Water Lemon Wheel Collins Add gin, lemon juice, maraschino liqueur, and liqueur de violette to a collins glass filled with ice Add tonic water; stir to combine Garnish with a lemon wheel ","[0.004514117259532213, -0.2825309932231903, 0.16488394141197205, 0.4915795624256134, 0.5605285167694092, -0.6884986758232117, -0.14465057849884033, 0.43764302134513855, -0.20718559622764587, 0.6398755311965942, -0.15319649875164032, -0.16409708559513092, 0.10179002583026886, -0.8886588215827942, -0.3598122298717499, 1.079891562461853, -0.24327917397022247, 0.4324982166290283, -0.713240921497345, 0.8434267640113831, 0.19321708381175995, 0.4098415970802307, 0.5913335084915161, -0.31382453441619873, -0.17088845372200012, -0.3288417458534241, -0.30737996101379395, -0.4936329424381256, -0.6463600993156433, 0.07238031178712845, -0.16509149968624115, 0.11691156774759293, 0.1624099761247635, 0.3792644441127777, 0.06640567630529404, 0.6092709302902222, -0.41841307282447815, 0.39363527297973633, 0.5610101222991943, -0.16807112097740173, 0.00807266402989626, 0.3927468955516815, -0.3503149449825287, -0.39269334077835083, -0.47980064153671265, -0.2776440382003784, -0.18486714363098145, -0.25737249851226807, -0.08659613132476807, 0.29116639494895935, -0.14592508971691132, -0.0995757207274437, 0.3466004729270935, 0.21129219233989716, 0.7611013054847717, 0.35991206765174866, -0.21260268986225128, -0.45501768589019775, 0.24818001687526703, -0.35554394125938416, -0.17365480959415436, -0.06053101271390915, 0.051213398575782776, 0.08153792470693588]",6,Vodka Whisky,Sugar Apple,"[1.0000000000000004, 0.6615354159059224, 0.6594946685411487, 0.6591251470653443, 0.6578812052634692, 0.6477723026530104]","[61, 322, 292, 356, 302]","['Lux Cherry Sparkler', ""L'Aviation"", 'Winter Swizzle', 'Ch?\x9bteau Montifaud Creation', 'Stone Fruit Patch V2']"
52,Maraschino Side Car,Caterina Miltenberger,,,".75 oz Luxardo Maraschino Liqueur, .25 oz Dry Curacao, .5 oz Bourbon Rye, .25 oz Lemon Juice","Lemon Peel, Abbott's Aromatic Bitters",,"Add ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with lemon peel to fit in glass and 1 dash of Abbott's Aromatic Bitters. Optional sugar rim.
",,"['.75 oz Luxardo Maraschino Liqueur', '.25 oz Dry Curacao', '.5 oz Bourbon Rye', '.25 oz Lemon Juice']","['liqueur', 'luxardo', 'rye', 'bourbon']","Caterina Miltenberger  oz Luxardo Maraschino Liqueur,  oz Dry Curacao,  oz Bourbon Rye,  oz Lemon Juice Lemon Peel, Abbott's Aromatic Bitters Add ingredients in a mixing glass with fresh ice Shake vigorously strain over fresh ice Garnish with lemon peel to fit in glass and dash of Abbott's Aromatic Bitters Optional sugar rim ","[0.37621545791625977, -0.37639397382736206, 0.3656728267669678, 0.34716010093688965, 0.3767770230770111, -0.20161858201026917, -0.32962027192115784, -0.015195338986814022, -0.6243979930877686, 0.757844865322113, -0.13818740844726562, -0.3776504099369049, 0.06874905526638031, -0.08432329446077347, 0.06034945696592331, 0.46755674481391907, 0.15773801505565643, 0.021757863461971283, -0.31462934613227844, 0.771234929561615, 0.45703619718551636, 0.7333886027336121, 0.02689625695347786, -0.7478309869766235, -0.4383942186832428, 0.05373280867934227, 0.0338936522603035, 0.04937445744872093, -0.585067093372345, 0.1917351484298706, 0.5403340458869934, -0.24503007531166077, 0.0820080116391182, 0.00048579933354631066, -0.16743028163909912, 0.5333391427993774, -0.19332723319530487, 0.1230606809258461, 0.0794340968132019, -0.5860713124275208, -0.1695031076669693, -0.18866054713726044, -0.08060071617364883, 0.01362183690071106, 0.16185154020786285, -0.36358940601348877, 0.21764186024665833, 0.002825290895998478, 0.05602467060089111, 0.3953254222869873, 0.06196651607751846, 0.20110583305358887, 0.19337765872478485, -0.35182127356529236, 0.055045582354068756, 0.4623929560184479, 0.23264585435390472, 0.31343474984169006, -0.024703508242964745, 0.3578397035598755, -0.1578327864408493, -0.14711923897266388, 0.06239945814013481, -0.09327360987663269]",3,Liqueur Luxardo,Dash Luxardo,"[1.0000000000000004, 0.7573345459290802, 0.7244537322739937, 0.7210615928010641, 0.7169302822260702, 0.7165522731982964]","[266, 170, 85, 588, 597]","[""Desmond's Choice"", 'Martinez Lemon', 'The Big Picture', 'Playa Matalan (Mezcal Negroni)', 'The Lady Whisper']"
53,The Royal Buck,,,,"1 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, .75 oz Lemon juice, .5 oz Simple syrup, 2 oz Club soda","Lemon wedge, Candied ginger",Collins,"Add ingredients to a mixing glass except club soda. Shake over ice, strain over ice into a collins glass, top with club soda. Garnish with a lemon wedge and candied ginger on a pick.",,"['1 oz No.3 London Dry Gin', ""1 oz King's Ginger Liqueur"", '.75 oz Lemon juice', '.5 oz Simple syrup', '2 oz Club soda']","['gin', 'gin', 'liqueur']"," oz No London Dry Gin, oz King's Ginger Liqueur,  oz Lemon juice,  oz Simple syrup, oz Club soda Lemon wedge, Candied ginger Collins Add ingredients to a mixing glass except club soda Shake over ice, strain over ice into a collins glass, top with club soda Garnish with a lemon wedge and candied ginger on a pick ","[0.7092208862304688, -0.461600661277771, 0.20096410810947418, 0.28510531783103943, -0.11683952808380127, -0.9000855684280396, -0.0015613366849720478, 0.27186185121536255, -0.8864970207214355, 0.021246619522571564, 0.35115253925323486, -0.2300027310848236, -0.2976763844490051, -0.5734526515007019, 0.38018518686294556, 0.5931926369667053, 0.27041319012641907, -0.3313439190387726, -0.5131729245185852, 0.887603759765625, 0.30179280042648315, 0.1386599838733673, 0.42796245217323303, -1.1707541942596436, -0.12235906720161438, -0.04316559061408043, -0.7662050127983093, -0.30547216534614563, -0.10259786993265152, -0.3433009684085846, 0.28900936245918274, 0.22355462610721588, -0.29052406549453735, -0.1654052436351776, 0.22891820967197418, 0.042267363518476486, 0.10618676245212555, 0.06035654991865158, -0.08219138532876968, -0.028847239911556244, -0.6977972984313965, 0.12491825222969055, 0.2335975021123886, -0.5946847796440125, 0.20472857356071472, 0.051192253828048706, -0.3089422285556793, -0.4852321147918701, -0.0451817512512207, 0.2066248655319214, -0.2227254956960678, 0.06414423882961273, 0.7166323661804199, 0.46406084299087524, 0.7516810297966003, 0.42954954504966736, 0.36108478903770447, -0.6340660452842712, -0.5410766005516052, 0.05506104230880737, 0.01200882252305746, -0.2983619272708893, 0.14653296768665314, 0.3290051519870758]",6,Vodka Whisky,Sugar Apple,"[1.0000000000000002, 0.882402150016409, 0.8526101075217765, 0.847345833165879, 0.8338313433943252, 0.8142985036045728]","[652, 354, 13, 464, 339]","['Speyside Highball', 'San Fran Soda', 'Mille Miglia', 'Hanky Panky (Classic)', 'Blood & Sand']"
54,Rx Hot Toddy,Christopher Buono,Walter Foods,Brooklyn,"1.5 oz Old Potrero Straight Rye Whiskey, .5 oz Lemon Juice, 2 oz Cold-pressed Apple Cider, 2 oz Hot Water, .5 oz Honey-Ginger Syrup*, 1 tsp Ghost-Pepper-Infused Campari**, 3 dash Cinnamon Tincture***",,Mug,"Add ingredients to a mug and stir.

*Honey-Ginger Syrup:
Combine 1 part ginger with 2 parts honey and 1 cup of water and boil. Reduce heat and simmer for 5 mins. Strain and discard solids.

**Ghost-Pepper-Infused Campari:
Soak 1 ghost pepper in a 16 oz. bottle of Campari for up to 24 hrs (reduce infusion time to reduce heat).

***Cinnamon Tincture:
Soak 3 cinnamon sticks in 16 oz. of any neutral grain alcohol that is high proof (regular 80-proof vodka is great) for up to 14 days. Strain and discard the sticks.",,"['1.5 oz Old Potrero Straight Rye Whiskey', '.5 oz Lemon Juice', '2 oz Cold-pressed Apple Cider', '2 oz Hot Water', '.5 oz Honey-Ginger Syrup*', '1 tsp Ghost-Pepper-Infused Campari**', '3 dash Cinnamon Tincture***']","['whiskey', 'rye', 'cider', 'gin']","Christopher Buono Walter Foods Brooklyn  oz Old Potrero Straight Rye Whiskey,  oz Lemon Juice, oz Cold-pressed Apple Cider, oz Hot Water,  oz Honey-Ginger Syrup*, tsp Ghost-Pepper-Infused Campari**, dash Cinnamon Tincture*** Mug Add ingredients to a mug and stir  *Honey-Ginger Syrup: Combine part ginger with parts honey and cup of water and boil Reduce heat and simmer for mins Strain and discard solids  **Ghost-Pepper-Infused Campari: Soak ghost pepper in a oz bottle of Campari for up to hrs (reduce infusion time to reduce heat)  ***Cinnamon Tincture: Soak cinnamon sticks in oz of any neutral grain alcohol that is high proof (regular -proof vodka is great) for up to days Strain and discard the sticks ","[0.9321960806846619, -0.9357937574386597, -0.7725539803504944, 0.6179152131080627, 0.06088826432824135, -0.8200626969337463, -0.24894368648529053, 0.5562416911125183, -0.5062558650970459, 0.5066328644752502, -0.33649367094039917, -0.2774009704589844, -0.1524454802274704, -0.7631516456604004, -0.05837211757898331, 1.4625847339630127, -0.8839791417121887, -0.9788283705711365, -1.2711657285690308, 0.28975215554237366, 0.8733257055282593, 0.26246312260627747, 0.9239084720611572, -1.6678699254989624, 0.22532279789447784, 0.3036433756351471, 0.4626014232635498, -0.979950487613678, -0.6992543339729309, 0.24784231185913086, 0.3017263114452362, -0.12349753826856613, 0.8805364966392517, 0.6047161221504211, 0.15127116441726685, 1.6597752571105957, 0.8122054934501648, 0.8340978026390076, -0.052291493862867355, -1.0999083518981934, -0.8994136452674866, -0.5427838563919067, -0.15527474880218506, -0.6386405229568481, 0.10884854197502136, 0.09241942316293716, -1.2935634851455688, -0.5772342681884766, -0.06236407160758972, 0.049754295498132706, 0.13716083765029907, 0.22248192131519318, -0.18512456119060516, 0.6575855016708374, 0.09178343415260315, -0.8036317825317383, 0.2448744773864746, -0.6228410601615906, -1.5262868404388428, 0.14001582562923431, -0.04607875645160675, -0.6563103199005127, 0.19836294651031494, -0.3744947612285614]",4,Gin Bianco,Water cinnamon,"[0.9999999999999999, 0.8363909298387182, 0.7895180174836858, 0.7703690689257388, 0.7594268491957624, 0.7520628572296884]","[235, 387, 124, 219, 385]","[""The King's Cranberry Sauce"", 'Mango No. 3', 'Speyside Orchard', 'A Southern Jackass', 'Wooster 53']"
55,Spanish G&T,Natasha Bahrami,The Gin Room,St. Louis,"1.5 oz Junipero Gin, 2 oz East Imperial Superior Tonic?ÿ,   Assorted Complementing Botanicals*",Assorted Complementing Botanicals,Large Balloon Glass,"Add Junipero Gin and botanicals first. Add ice and follow with a bold tonic. Top with additional botanicals/garnish for presentation.

*Assorted Complementing Botanicals: Orange, Star Anise, Rose Petals, Italian Juniper",,"['1.5 oz Junipero Gin', '2 oz East Imperial Superior Tonic?ÿ', 'Assorted Complementing Botanicals*']",['gin'],"Natasha Bahrami The Gin Room St Louis  oz Junipero Gin, oz East Imperial Superior Tonic?ÿ,  Assorted Complementing Botanicals* Assorted Complementing Botanicals Large Balloon Glass Add Junipero Gin and botanicals first Add ice and follow with a bold tonic Top with additional botanicals/garnish for presentation  *Assorted Complementing Botanicals: Orange, Star Anise, Rose Petals, Italian Juniper","[0.8579186201095581, -0.7173309326171875, 0.27372315526008606, 0.2997737228870392, 0.02888409234583378, -0.675305962562561, 0.4993802607059479, 0.8968636989593506, -1.0388531684875488, 0.38075485825538635, 0.2009567767381668, -0.8566606044769287, -0.9797156453132629, -0.5660350322723389, 1.0840704441070557, 1.2468887567520142, 0.2837378978729248, -0.7941104173660278, -0.2766498625278473, 0.23261301219463348, 0.31335633993148804, 0.09556887298822403, 0.10461917519569397, -0.6974239349365234, -0.4669189453125, 0.18893176317214966, -0.054401155561208725, 0.32357078790664673, -0.07735232263803482, 0.5453171730041504, 0.2268851399421692, -0.08056534081697464, -0.6144441366195679, -0.501804530620575, -0.5114437937736511, 0.7071429491043091, 0.29087185859680176, 0.6286384463310242, 0.4685685932636261, -0.8928719758987427, -0.11999784409999847, -0.6140775084495544, 0.348306268453598, 0.02288052625954151, -0.15463662147521973, -0.4129831790924072, 0.3357123136520386, -0.1525014489889145, 0.16856490075588226, 0.33565425872802734, 0.5290235877037048, 0.3875647783279419, 0.27683672308921814, 0.5348156094551086, 0.3174746036529541, 0.5133223533630371, 1.081519365310669, -0.3538654148578644, 0.07757352292537689, 0.651925802230835, -0.12514148652553558, -0.6230589151382446, -0.5105352997779846, 0.298711895942688]",3,Liqueur Luxardo,Dash Luxardo,"[1.0, 0.8281909816364249, 0.812687649430442, 0.8042867467716197, 0.8007611353347726, 0.7956082170142503]","[649, 600, 172, 204, 646]","[""Port's North Fogcutter Cup"", 'Dirt Nap', 'Radice Amara', 'Flip and Flight', 'The Fifth Star']"
56,Chilcano,,,,"2 oz BarSol Selecto Acholado Pisco, .5 oz Fresh Lime Juice, 2-3 drops Angostura Bitters,  top Ginger Ale",Lime Wheel,Highball Glass,Add pisco and lime juice into a highball glass filled with ice. Pour ginger ale into the glass to top. Add 2-3 drops of bitters. Garnish with lime wheel.,,"['2 oz BarSol Selecto Acholado Pisco', '.5 oz Fresh Lime Juice', '2-3 drops Angostura Bitters', 'top Ginger Ale']","['pisco', 'gin', 'ale']"," oz BarSol Selecto Acholado Pisco,  oz Fresh Lime Juice, - drops Angostura Bitters, top Ginger Ale Lime Wheel Highball Glass Add pisco and lime juice into a highball glass filled with ice Pour ginger ale into the glass to top Add - drops of bitters Garnish with lime wheel ","[0.6509120464324951, -0.14996811747550964, -0.016540221869945526, 0.0506172813475132, 0.1806434839963913, -0.6665558218955994, 0.2607150375843048, 0.21413873136043549, -0.31094205379486084, -0.10104489326477051, -0.3135561943054199, -0.04146653413772583, -0.3059883117675781, -0.42998388409614563, 0.6488426923751831, 0.9636433720588684, 0.11709178984165192, -0.13859564065933228, -0.4747547209262848, 0.44775089621543884, 0.5225824117660522, 0.30443260073661804, 0.5685314536094666, -0.7213972210884094, 0.16839386522769928, 0.40063393115997314, -0.5038557052612305, -0.6049599647521973, 0.13716313242912292, -0.03604400157928467, -0.236210897564888, 0.5143091678619385, -0.1476493775844574, -0.182951420545578, 0.1359538435935974, 0.1547950804233551, -0.3993235230445862, 0.40161293745040894, 0.59274822473526, -0.1134614646434784, -0.6939082741737366, 0.12984102964401245, -0.16952158510684967, -0.4333514869213104, -0.07389411330223083, 0.06723453104496002, -0.19080320000648499, -0.5896388292312622, -0.42519232630729675, -0.16412191092967987, 0.04054605960845947, -0.03520526364445686, 0.5335988402366638, 0.5105292797088623, 0.6994572877883911, 0.7612693309783936, 0.05576898902654648, -0.8276121020317078, -0.003060741815716028, -0.4054202437400818, -0.12583625316619873, -0.03337289020419121, -0.2118511199951172, -0.14385391771793365]",6,Vodka Whisky,Sugar Apple,"[1.0000000000000002, 0.8025203863746119, 0.7988469068458904, 0.7847814763774935, 0.7805497055365241, 0.7646247602917767]","[9, 635, 63, 349, 346]","[""King's Snap the Chocolate Out of You"", 'Fiery Clydesdale', ""Karlsson's Mule"", 'The Twinger ', 'Rio De Janeiro Mule']"
57,Kir Royale,,,,"1 part Briottet Creme de Cassis, 4 part Chilled Dry Champagne",,,"Add room temperature Creme de Cassis to the glass first, followed by the Champagne.",,"['1 part Briottet Creme de Cassis', '4 part Chilled Dry Champagne']","['briottet', 'champagne']"," part Briottet Creme de Cassis, part Chilled Dry Champagne Add room temperature Creme de Cassis to the glass first, followed by the Champagne ","[0.5297760963439941, -0.5051348805427551, -0.24013547599315643, 0.3037492632865906, 0.04236171022057533, -0.2429850548505783, -0.08802821487188339, 0.23892627656459808, -0.4096902906894684, 0.3254590630531311, -0.5793496370315552, -0.3569805324077606, -0.29530787467956543, -0.060441046953201294, -0.2539253532886505, 0.5859933495521545, -0.129480242729187, -0.10243431478738785, -0.8242842555046082, 0.427005410194397, 0.22907505929470062, 0.11304935812950134, 0.34615710377693176, -0.30044692754745483, 0.2577561140060425, -0.06125422194600105, -0.276236891746521, -0.464699387550354, -0.821892261505127, -0.1418079435825348, -0.07982601225376129, 0.4504587948322296, -0.36822310090065, 0.004465457983314991, 0.3225366175174713, 0.3907093405723572, 0.16324248909950256, 0.2933325469493866, 0.15774743258953094, -0.4724927842617035, -0.5254638195037842, -0.3729238212108612, -0.11930201202630997, 0.583274245262146, -0.7450695037841797, -0.8452004194259644, -0.3954724371433258, -0.2410617619752884, -0.13359171152114868, 0.2193782925605774, 0.33498528599739075, -0.2732667028903961, 0.5037402510643005, 0.436747282743454, 0.4892204701900482, 0.5384706258773804, -0.20981921255588531, -0.12211573123931885, -0.2076907902956009, 0.20368236303329468, -0.15557773411273956, -0.15245769917964935, 0.6036801934242249, -0.00653695035725832]",0,Gin Liqueur,Ginger Fresh,"[1.0, 0.9034850221967501, 0.7302149916872738, 0.721600774155415, 0.7122878296147706, 0.6886769554113341]","[58, 633, 283, 663, 357]","['Kir', 'Flambeed Brandy Alexander', 'Barrel Aged Ginger Negroni', 'Champagne Sidecar', 'Ch?\x9bteau Montifaud on the Rocks']"
58,Kir,,,,"1 part Briottet Creme de Cassis, 4 part Chilled Dry White Wine",,,"Add room temperature Creme de Cassis to the glass first, followed by the wine.",,"['1 part Briottet Creme de Cassis', '4 part Chilled Dry White Wine']","['briottet', 'wine']"," part Briottet Creme de Cassis, part Chilled Dry White Wine Add room temperature Creme de Cassis to the glass first, followed by the wine ","[0.5898622274398804, -0.725482702255249, -0.03076128289103508, 0.4948955476284027, -0.07423804700374603, -0.3431036174297333, -0.015299133025109768, 0.3470429480075836, -0.28795892000198364, 0.31403082609176636, -0.6273937225341797, -0.45840689539909363, -0.34154167771339417, -0.13713647425174713, -0.12039780616760254, 0.9028127789497375, -0.16072803735733032, -0.2548474669456482, -0.8201739192008972, 0.38812264800071716, 0.45278415083885193, 0.17791512608528137, 0.43605101108551025, -0.4830727279186249, 0.2562377154827118, 0.16799433529376984, -0.18738992512226105, -0.5528724193572998, -0.6599431037902832, -0.03632578253746033, 0.08081401139497757, 0.14117006957530975, -0.14738334715366364, 0.10051242262125015, 0.07952472567558289, 0.5352782607078552, 0.270920991897583, 0.38608771562576294, 0.2732321619987488, -0.5072088241577148, -0.4131360948085785, -0.25907766819000244, 0.254565566778183, 0.39885613322257996, -0.5230648517608643, -0.9343075752258301, -0.039638567715883255, -0.28607460856437683, -0.21273069083690643, 0.18476083874702454, 0.1380530446767807, -0.14462222158908844, 0.23048819601535797, 0.46839743852615356, 0.47403785586357117, 0.4820176959037781, 0.1664409637451172, 0.009819683618843555, -0.1369572877883911, 0.19903287291526794, -0.19737592339515686, -0.3483634889125824, 0.14519594609737396, -0.011260326020419598]",0,Gin Liqueur,Ginger Fresh,"[1.0000000000000004, 0.9034850221967501, 0.8119408951285855, 0.7639373666332604, 0.7439343023966372, 0.732602963342018]","[57, 283, 284, 257, 173]","['Kir Royale', 'Barrel Aged Ginger Negroni', 'Amaretto Bourbon Punch', 'The No.3 Winter Punch', ""Don't Rock the Boat Punch""]"
